2026-05-21 09:07:53.779783,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:08:03.769384,192.168.1.10,Brute Force Attack,HIGH,Blocked IP,SUCCESS
2026-05-21 09:08:22.793029,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:08:28.937671,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:08:31.071370,192.168.1.50,Brute Force Attack,HIGH,Blocked IP,SUCCESS
2026-05-21 09:08:50.993988,192.168.1.10,Manual Response,INFO,Unblocked IP,SUCCESS
2026-05-21 09:08:57.894738,192.168.1.60,Manual Response,INFO,Unblocked IP,SUCCESS
2026-05-21 09:09:00.108468,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:09:01.081562,192.168.1.60,Manual Response,INFO,Unblocked IP,SUCCESS
2026-05-21 09:09:06.573053,192.168.1.50,Manual Response,INFO,Unblocked IP,SUCCESS
2026-05-21 09:09:06.679336,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:09:10.901074,192.168.1.60,Manual Response,INFO,Unblocked IP,SUCCESS
2026-05-21 09:09:13.004717,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:09:13.548383,192.168.1.50,Manual Response,INFO,Unblocked IP,SUCCESS
2026-05-21 09:09:21.263816,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:09:23.347532,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:09:25.424367,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:09:29.499697,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:09:31.575695,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:09:41.760123,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:09:48.456047,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:09:52.683985,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:10:01.127033,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:10:05.750251,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:10:10.502901,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:10:29.874402,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:10:35.976878,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:10:38.078957,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:10:50.387152,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:11:04.991874,192.168.1.60,Brute Force Attack,HIGH,Blocked IP,SUCCESS
2026-05-21 09:11:17.433621,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:11:27.612433,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:11:36.051850,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:11:38.101384,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:11:52.419979,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:12:00.560500,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:12:14.882920,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:12:17.030232,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:12:23.503979,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:12:39.858799,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:12:41.914130,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:27:49.123088,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:27:51.294261,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:28:02.793649,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:28:15.608889,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:28:19.792597,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:28:24.341800,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:28:26.509305,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:28:30.646788,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:28:31.158119,192.168.1.50,Brute Force Attack,HIGH,Blocked IP,SUCCESS
2026-05-21 09:28:35.041147,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:28:54.558389,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:29:04.895405,192.168.1.50,Manual Response,INFO,Unblocked IP,SUCCESS
2026-05-21 09:29:19.635160,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:29:28.138782,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:29:43.237077,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:29:53.868752,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:29:54.800767,192.168.1.50,Manual Response,INFO,Unblocked IP,SUCCESS
2026-05-21 09:29:58.054077,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:30:00.424770,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:30:06.716579,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:30:08.804379,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:30:13.414021,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:30:18.770406,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:30:23.345248,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:30:45.891354,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:30:48.172155,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:31:01.449186,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:31:25.354298,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:31:27.477167,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:31:29.575545,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:31:39.775195,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:31:41.873312,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:31:48.011785,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:31:50.060654,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:31:52.139879,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:31:56.279419,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:32:02.514229,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:32:12.848546,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:32:14.928517,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:32:16.997769,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:32:21.247252,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:32:25.354125,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:32:40.808050,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:32:53.711849,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:32:56.327715,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:33:03.886118,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:33:06.128780,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:33:10.244206,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:33:12.340148,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:33:18.561954,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:33:22.795734,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:33:24.869908,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:33:33.086735,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:33:44.124495,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:33:46.227276,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:33:48.332357,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:33:57.178487,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:34:05.332193,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:34:33.937702,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:34:58.069956,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:35:04.239626,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:35:06.322702,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:35:08.399897,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:35:14.539545,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:35:22.753857,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:35:26.874115,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:35:28.956886,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:35:39.215173,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:35:49.429716,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:35:51.483845,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:35:57.670731,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:35:59.769314,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:36:03.982989,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:36:06.210320,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:36:38.852314,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:36:40.926572,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:36:53.176723,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
